reaction_id,flux,absolute_flux
USHD,0.01706285780389118,0.01706285780389118
LPADSS,0.017062857803891177,0.017062857803891177
MOAT2,0.017062857803891177,0.017062857803891177
TDSK,0.017062857803891177,0.017062857803891177
MOAT,0.017062857803891177,0.017062857803891177
FE2tpp,0.014085452260911605,0.014085452260911605
EX_fe2_e,-0.014085452260911605,0.014085452260911605
FE2tex,0.014085452260911605,0.014085452260911605
DALAt2pp,0.012184999297248358,0.012184999297248358
MCTP1App,0.012184999297248356,0.012184999297248356
MPTG,0.012184999297248356,0.012184999297248356
MG2t3_2pp,0.007607950835153989,0.007607950835153989
EX_mg2_e,-0.007607950835153988,0.007607950835153988
MG2tex,0.007607950835153988,0.007607950835153988
FESR,0.006847594250245801,0.006847594250245801
PROt2rpp,-0.004564770501092393,0.004564770501092393
EX_ca2_e,-0.0045647705010923925,0.0045647705010923925
CLtex,0.0045647705010923925,0.0045647705010923925
EX_cl_e,-0.0045647705010923925,0.0045647705010923925
CA2tex,0.0045647705010923925,0.0045647705010923925
CAt6pp,-0.0045647705010923925,0.0045647705010923925
PROt4pp,0.0045647705010923925,0.0045647705010923925
FESD1s,0.0034237971251229004,0.0034237971251229004
G1SAT,0.0031291260610754375,0.0031291260610754375
GLUTRR,0.003129126061075437,0.003129126061075437
GLUTRS,0.0031291260610754367,0.0031291260610754367
DXPS,0.00248628710290044,0.00248628710290044
CLt3_2pp,0.0022823852505461963,0.0022823852505461963
GART,0.0021512741669894816,0.0021512741669894816
DXPRIi,0.002095146345266011,0.002095146345266011
MECDPS,0.0020951463452660106,0.0020951463452660106
CDPMEK,0.0020951463452660106,0.0020951463452660106
MECDPDH5,0.0020951463452660106,0.0020951463452660106
MEPCT,0.0020951463452660106,0.0020951463452660106
NNDPR,0.0019977996544642933,0.0019977996544642933
QULNS,0.0019977996544642933,0.0019977996544642933
NNATr,0.0019977996544642933,0.0019977996544642933
ASPO6,0.0019977996544642933,0.0019977996544642933
NADS1,0.0019977996544642933,0.0019977996544642933
IPDPS,0.0018513411196553144,0.0018513411196553144
PPBNGS,0.001564563030537719,0.001564563030537719
SPODM,0.0014259974706586076,0.0014259974706586076
QMO2,0.0014259974706586076,0.0014259974706586076
ICYSDS,0.001155005331400323,0.001155005331400323
METAT,0.0007875434985554013,0.0007875434985554013
DB4PS,0.0007822815152689719,0.0007822815152689719
RBFSa,0.0007822815152689719,0.0007822815152689719
EX_cu2_e,-0.0006217910250287236,0.0006217910250287236
CU2tex,0.0006217910250287236,0.0006217910250287236
CU2tpp,0.0006217910250287236,0.0006217910250287236
MNtex,0.000606005075169038,0.000606005075169038
EX_mn2_e,-0.000606005075169038,0.000606005075169038
MN2tpp,0.000606005075169038,0.000606005075169038
PNTK,0.000591096122523403,0.000591096122523403
DPCOAK,0.0005910961225234029,0.0005910961225234029
PTPATi,0.0005910961225234029,0.0005910961225234029
PPNCL2,0.0005910961225234029,0.0005910961225234029
PANTS,0.0005910961225234029,0.0005910961225234029
PPCDC,0.0005910961225234029,0.0005910961225234029
ASP1DC,0.0005910961225234028,0.0005910961225234028
MOHMT,0.0005910961225234028,0.0005910961225234028
DPR,0.0005910961225234028,0.0005910961225234028
ADNK1,0.0005902191253093326,0.0005902191253093326
PUNP1,-0.0005902191253093326,0.0005902191253093326
ADCL,0.0005867111364515941,0.0005867111364515941
4HTHRK,0.0005867111364515941,0.0005867111364515941
4HTHRA,-0.0005867111364515941,0.0005867111364515941
ADCS,0.0005867111364515941,0.0005867111364515941
DHNPA2r,0.000586711136451594,0.000586711136451594
DHFS,0.000586711136451594,0.000586711136451594
DHPS2,0.000586711136451594,0.000586711136451594
DNMPPA,0.000586711136451594,0.000586711136451594
DNTPPA,0.000586711136451594,0.000586711136451594
